Class,IoU,Precision,Recall,F1-Score,Support
diningtable,0.14365156579779703,0.17894550872310575,0.42140835724257114,0.25121561512939916,2658317
bottle,0.12539106525652094,0.2665987131632836,0.19142075011994017,0.22283998714338357,1063030
person,0.11314468451691126,0.15569058039084344,0.2928047680367566,0.20328837048889908,7909335
motorbike,0.11015818862718221,0.12733658398728936,0.4495085548932297,0.1984549404862805,1371262
bird,0.10410703119456713,0.12197018807996739,0.4154938657187315,0.18858141149944593,1698569
dog,0.10140131225483055,0.12010302313087641,0.3943808261178969,0.18413145349761376,2605294
car,0.0762606319114138,0.09556971674733031,0.2740206423362281,0.14171406005249246,2150338
tvmonitor,0.06923558527010423,0.07501743413443111,0.47321484839958355,0.12950482797972784,1126613
sheep,0.06455593825070331,0.07189218109402334,0.38748827452117407,0.12128237874804916,1465825
cat,0.05759779358955087,0.09105356441493032,0.13551549923983602,0.10892192464596674,3664341
chair,0.05739043435762744,0.07814300019837711,0.17770022042615724,0.10855107535088031,1850960
sofa,0.05528321521929203,0.08145118331578205,0.14681311709695932,0.10477417705881727,2345458
train,0.054732818449637156,0.06091862606103625,0.3502340954021493,0.10378518140753312,2221103
aeroplane,0.05380985114066334,0.055879135625061575,0.5923501793841071,0.10212440333978386,1110745
horse,0.05115227013676767,0.059429804117879174,0.2686077744838378,0.09732608983494304,1386047
bicycle,0.046890046909633394,0.07455814798473956,0.11218135621459513,0.08957969759680198,384128
background,0.03427956630017772,0.3869541294490319,0.03624815367138436,0.0662868481928972,105834356
bus,0.03423678678624847,0.043404708830523615,0.13948220087234192,0.06620686330958053,1437739
boat,0.032241291193998524,0.03319028720633991,0.5299891235044819,0.06246851674903425,799890
cow,0.031799186811020015,0.03481389861338434,0.2685872532593286,0.06163832501031854,1194878
pottedplant,0.007825680633153389,0.012444182474189975,0.020650244086062936,0.01552982977817554,337381
